행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),행정구역
강원특별자치도,영월군,2020,38662.0,14.0,13.0,123.0,404.0,106.0,94.0,4576.0,강원특별자치도 영월군
강원특별자치도,영월군,2021,37904.0,14.0,13.0,91.0,448.0,95.0,74.0,4325.0,강원특별자치도 영월군
강원특별자치도,영월군,2022,37728.0,14.0,13.0,95.0,573.0,100.0,70.0,4124.0,강원특별자치도 영월군
강원특별자치도,영월군,2023,37486.0,14.0,13.0,77.0,637.0,87.0,67.0,3911.0,강원특별자치도 영월군
강원특별자치도,영월군,2024,37248.0,14.0,13.0,67.0,727.0,83.0,64.0,3694.0,강원특별자치도 영월군
강원특별자치도,영월군,2025,37010.0,14.0,13.0,54.0,806.0,74.0,61.0,3476.0,강원특별자치도 영월군
강원특별자치도,영월군,2026,36772.0,14.0,13.0,42.0,890.0,68.0,58.0,3258.0,강원특별자치도 영월군
강원특별자치도,영월군,2027,36534.0,14.0,13.0,30.0,972.0,60.0,55.0,3040.0,강원특별자치도 영월군
강원특별자치도,영월군,2028,36296.0,14.0,13.0,18.0,1055.0,53.0,52.0,2823.0,강원특별자치도 영월군
강원특별자치도,영월군,2029,36058.0,14.0,13.0,6.0,1138.0,46.0,49.0,2607.0,강원특별자치도 영월군
강원특별자치도,영월군,2030,35820.0,14.0,13.0,-6.0,1221.0,39.0,46.0,2392.0,강원특별자치도 영월군
강원특별자치도,영월군,2031,35582.0,14.0,13.0,-18.0,1304.0,32.0,43.0,2178.0,강원특별자치도 영월군
강원특별자치도,영월군,2032,35344.0,14.0,13.0,-30.0,1387.0,25.0,40.0,1965.0,강원특별자치도 영월군
강원특별자치도,원주시,2010,314678.0,61.0,46.0,2939.0,1692.0,1855.0,771.0,68148.0,강원특별자치도 원주시
강원특별자치도,원주시,2011,320536.0,61.0,47.0,2943.0,1648.0,1863.0,796.0,68855.0,강원특별자치도 원주시
강원특별자치도,원주시,2012,323885.0,65.0,47.0,2979.0,1808.0,1894.0,782.0,67799.0,강원특별자치도 원주시
강원특별자치도,원주시,2013,324837.0,66.0,47.0,2546.0,1790.0,1756.0,845.0,66383.0,강원특별자치도 원주시
강원특별자치도,원주시,2014,327292.0,70.0,48.0,2509.0,1784.0,1708.0,799.0,64692.0,강원특별자치도 원주시
강원특별자치도,원주시,2015,332995.0,71.0,48.0,2605.0,1836.0,1789.0,843.0,63605.0,강원특별자치도 원주시
강원특별자치도,원주시,2016,337979.0,73.0,49.0,2468.0,1927.0,1763.0,823.0,62770.0,강원특별자치도 원주시
강원특별자치도,원주시,2017,341337.0,72.0,49.0,2291.0,1998.0,1740.0,795.0,61505.0,강원특별자치도 원주시
강원특별자치도,원주시,2018,344070.0,72.0,49.0,2041.0,1998.0,1645.0,843.0,60355.0,강원특별자치도 원주시
강원특별자치도,원주시,2019,349215.0,71.0,50.0,2146.0,2061.0,1698.0,862.0,59177.0,강원특별자치도 원주시
강원특별자치도,원주시,2020,354376.0,73.0,50.0,2076.0,2133.0,1514.0,778.0,58029.0,강원특별자치도 원주시
강원특별자치도,원주시,2021,357757.0,72.0,51.0,2035.0,2220.0,1482.0,746.0,56844.0,강원특별자치도 원주시
강원특별자치도,원주시,2022,360807.0,73.0,51.0,2071.0,2667.0,1457.0,742.0,55269.0,강원특별자치도 원주시
강원특별자치도,원주시,2023,363842.0,72.0,52.0,1996.0,2890.0,1421.0,727.0,53574.0,강원특별자치도 원주시
강원특별자치도,원주시,2024,366873.0,73.0,52.0,1928.0,3191.0,1388.0,716.0,51862.0,강원특별자치도 원주시
강원특별자치도,원주시,2025,369903.0,72.0,53.0,1859.0,3465.0,1354.0,704.0,50147.0,강원특별자치도 원주시
강원특별자치도,원주시,2026,372933.0,73.0,53.0,1790.0,3748.0,1321.0,693.0,48432.0,강원특별자치도 원주시
강원특별자치도,원주시,2027,375963.0,72.0,54.0,1721.0,4028.0,1287.0,682.0,46717.0,강원특별자치도 원주시
강원특별자치도,원주시,2028,378993.0,73.0,54.0,1651.0,4309.0,1253.0,671.0,45004.0,강원특별자치도 원주시
강원특별자치도,원주시,2029,382023.0,72.0,55.0,1581.0,4590.0,1219.0,660.0,43300.0,강원특별자치도 원주시
강원특별자치도,원주시,2030,385053.0,73.0,55.0,1511.0,4871.0,1185.0,649.0,41596.0,강원특별자치도 원주시
강원특별자치도,원주시,2031,388083.0,72.0,56.0,1441.0,5152.0,1151.0,638.0,39891.0,강원특별자치도 원주시
강원특별자치도,원주시,2032,391113.0,73.0,56.0,1371.0,5433.0,1117.0,627.0,38187.0,강원특별자치도 원주시
강원특별자치도,인제군,2010,31842.0,19.0,14.0,386.0,253.0,208.0,71.0,5546.0,강원특별자치도 인제군
강원특별자치도,인제군,2011,31970.0,19.0,14.0,335.0,251.0,187.0,58.0,5508.0,강원특별자치도 인제군
강원특별자치도,인제군,2012,32456.0,17.0,14.0,374.0,249.0,193.0,74.0,5407.0,강원특별자치도 인제군
강원특별자치도,인제군,2013,32517.0,17.0,14.0,338.0,260.0,216.0,83.0,5250.0,강원특별자치도 인제군
강원특별자치도,인제군,2014,32475.0,17.0,14.0,322.0,241.0,235.0,90.0,5049.0,강원특별자치도 인제군
강원특별자치도,인제군,2015,33255.0,17.0,14.0,379.0,272.0,246.0,62.0,4908.0,강원특별자치도 인제군
강원특별자치도,인제군,2016,32720.0,17.0,14.0,335.0,256.0,232.0,81.0,4678.0,강원특별자치도 인제군
강원특별자치도,인제군,2017,32582.0,16.0,14.0,310.0,258.0,210.0,71.0,4448.0,강원특별자치도 인제군
강원특별자치도,인제군,2018,32136.0,15.0,14.0,262.0,272.0,216.0,77.0,4301.0,강원특별자치도 인제군
강원특별자치도,인제군,2019,31672.0,15.0,13.0,255.0,280.0,205.0,89.0,4111.0,강원특별자치도 인제군
강원특별자치도,인제군,2020,31694.0,14.0,13.0,222.0,236.0,169.0,64.0,3939.0,강원특별자치도 인제군
강원특별자치도,인제군,2021,32165.0,14.0,13.0,230.0,263.0,142.0,64.0,3920.0,강원특별자치도 인제군
강원특별자치도,인제군,2022,32206.0,13.0,13.0,211.0,339.0,187.0,69.0,3824.0,강원특별자치도 인제군
강원특별자치도,인제군,2023,32300.0,13.0,13.0,200.0,347.0,274.0,67.0,3740.0,강원특별자치도 인제군
강원특별자치도,인제군,2024,32380.0,12.0,13.0,185.0,354.0,362.0,68.0,3655.0,강원특별자치도 인제군
