연도,행정구역,학령인구(명)
2030,경기도 남양주시,94827.0
2021,경기도 동두천시,12848.0
2022,경기도 동두천시,12343.0
2023,경기도 동두천시,11551.0
2024,경기도 동두천시,10403.0
2025,경기도 동두천시,9389.0
2026,경기도 동두천시,8772.0
2027,경기도 동두천시,8341.0
2028,경기도 동두천시,8041.0
2029,경기도 동두천시,7809.0
2030,경기도 동두천시,7632.0
2021,경기도 부천시,113903.0
2022,경기도 부천시,108645.0
2023,경기도 부천시,101614.0
2024,경기도 부천시,93188.0
2025,경기도 부천시,84433.0
2026,경기도 부천시,78315.0
2027,경기도 부천시,73444.0
2028,경기도 부천시,69020.0
2029,경기도 부천시,65495.0
2030,경기도 부천시,62610.0
2021,경기도 성남시,135969.0
2022,경기도 성남시,132631.0
2023,경기도 성남시,127795.0
2024,경기도 성남시,120279.0
2025,경기도 성남시,113706.0
2026,경기도 성남시,109070.0
2027,경기도 성남시,105085.0
2028,경기도 성남시,102175.0
2029,경기도 성남시,100007.0
2030,경기도 성남시,98286.0
2021,경기도 수원시,191669.0
2022,경기도 수원시,186151.0
2023,경기도 수원시,178253.0
2024,경기도 수원시,169118.0
2025,경기도 수원시,160688.0
2026,경기도 수원시,154884.0
2027,경기도 수원시,150996.0
2028,경기도 수원시,148151.0
2029,경기도 수원시,145977.0
2030,경기도 수원시,143839.0
2021,경기도 시흥시,86989.0
2022,경기도 시흥시,87729.0
2023,경기도 시흥시,86432.0
2024,경기도 시흥시,84381.0
2025,경기도 시흥시,81282.0
2026,경기도 시흥시,78712.0
2027,경기도 시흥시,76281.0
2028,경기도 시흥시,73961.0
2029,경기도 시흥시,71776.0
2030,경기도 시흥시,69781.0
2021,경기도 안산시,105498.0
2022,경기도 안산시,101112.0
2023,경기도 안산시,95695.0
2024,경기도 안산시,90359.0
2025,경기도 안산시,86349.0
2026,경기도 안산시,84648.0
2027,경기도 안산시,83140.0
2028,경기도 안산시,81566.0
2029,경기도 안산시,80146.0
2030,경기도 안산시,78684.0
2021,경기도 안성시,30225.0
2022,경기도 안성시,29457.0
2023,경기도 안성시,28208.0
2024,경기도 안성시,26928.0
2025,경기도 안성시,25714.0
2026,경기도 안성시,24865.0
2027,경기도 안성시,24294.0
2028,경기도 안성시,23899.0
2029,경기도 안성시,23623.0
2030,경기도 안성시,23432.0
2021,경기도 안양시,85061.0
2022,경기도 안양시,81728.0
2023,경기도 안양시,78072.0
2024,경기도 안양시,74001.0
2025,경기도 안양시,70271.0
2026,경기도 안양시,67598.0
2027,경기도 안양시,65487.0
2028,경기도 안양시,63870.0
2029,경기도 안양시,62538.0
2030,경기도 안양시,61456.0
2021,경기도 양주시,33583.0
2022,경기도 양주시,33411.0
2023,경기도 양주시,31163.0
2024,경기도 양주시,24878.0
2025,경기도 양주시,16989.0
2026,경기도 양주시,10452.0
2027,경기도 양주시,4990.0
2028,경기도 양주시,578.0
2029,경기도 양주시,-2820.0
2030,경기도 양주시,-5478.0
2021,경기도 양평군,15547.0
2022,경기도 양평군,15368.0
2023,경기도 양평군,14810.0
2024,경기도 양평군,14267.0
2025,경기도 양평군,13630.0
2026,경기도 양평군,13470.0
2027,경기도 양평군,13294.0
2028,경기도 양평군,13118.0
2029,경기도 양평군,12944.0
2030,경기도 양평군,12768.0
2021,경기도 연천군,5934.0
2022,경기도 연천군,5636.0
2023,경기도 연천군,5424.0
2024,경기도 연천군,5094.0
2025,경기도 연천군,4884.0
2026,경기도 연천군,4758.0
2027,경기도 연천군,4616.0
2028,경기도 연천군,4479.0
2029,경기도 연천군,4336.0
2030,경기도 연천군,4196.0
2021,경기도 오산시,42300.0
2022,경기도 오산시,42099.0
2023,경기도 오산시,41353.0
2024,경기도 오산시,40219.0
2025,경기도 오산시,39289.0
2026,경기도 오산시,38777.0
2027,경기도 오산시,38290.0
2028,경기도 오산시,37830.0
2029,경기도 오산시,37390.0
2030,경기도 오산시,36978.0
2021,경기도 용인시,200198.0
2022,경기도 용인시,197751.0
2023,경기도 용인시,192529.0
2024,경기도 용인시,184953.0
2025,경기도 용인시,176037.0
2026,경기도 용인시,166340.0
2027,경기도 용인시,158437.0
2028,경기도 용인시,152110.0
2029,경기도 용인시,147051.0
2030,경기도 용인시,142854.0
2021,경기도 의왕시,23593.0
2022,경기도 의왕시,23352.0
2023,경기도 의왕시,22590.0
2024,경기도 의왕시,21767.0
2025,경기도 의왕시,20950.0
2026,경기도 의왕시,20810.0
2027,경기도 의왕시,20644.0
2028,경기도 의왕시,20505.0
2029,경기도 의왕시,20327.0
2030,경기도 의왕시,20197.0
2021,경기도 의정부시,67144.0
2022,경기도 의정부시,65663.0
2023,경기도 의정부시,62757.0
2024,경기도 의정부시,58510.0
2025,경기도 의정부시,54523.0
2026,경기도 의정부시,52358.0
2027,경기도 의정부시,50928.0
2028,경기도 의정부시,49982.0
2029,경기도 의정부시,49346.0
2030,경기도 의정부시,48924.0
2021,경기도 이천시,37074.0
2022,경기도 이천시,36538.0
2023,경기도 이천시,35643.0
2024,경기도 이천시,34180.0
2025,경기도 이천시,32099.0
2026,경기도 이천시,30436.0
2027,경기도 이천시,29003.0
2028,경기도 이천시,27734.0
2029,경기도 이천시,26624.0
2030,경기도 이천시,25685.0
2021,경기도 파주시,79353.0
2022,경기도 파주시,79759.0
2023,경기도 파주시,80357.0
2024,경기도 파주시,79001.0
2025,경기도 파주시,76822.0
2026,경기도 파주시,75358.0
2027,경기도 파주시,73766.0
2028,경기도 파주시,72253.0
2029,경기도 파주시,70747.0
2030,경기도 파주시,69292.0
2021,경기도 평택시,87063.0
2022,경기도 평택시,89293.0
2023,경기도 평택시,89570.0
2024,경기도 평택시,86582.0
2025,경기도 평택시,83251.0
2026,경기도 평택시,80569.0
2027,경기도 평택시,78440.0
2028,경기도 평택시,76164.0
2029,경기도 평택시,74185.0
2030,경기도 평택시,72483.0
2021,경기도 포천시,22051.0
2022,경기도 포천시,20864.0
2023,경기도 포천시,19240.0
2024,경기도 포천시,18305.0
2025,경기도 포천시,17377.0
2026,경기도 포천시,17533.0
2027,경기도 포천시,17348.0
2028,경기도 포천시,17415.0
2029,경기도 포천시,17281.0
2030,경기도 포천시,17305.0
2021,경기도 하남시,41922.0
2022,경기도 하남시,45223.0
2023,경기도 하남시,47566.0
2024,경기도 하남시,49587.0
2025,경기도 하남시,50848.0
2026,경기도 하남시,52107.0
2027,경기도 하남시,53526.0
2028,경기도 하남시,55049.0
2029,경기도 하남시,56467.0
2030,경기도 하남시,57963.0
2021,경기도 화성시,163072.0
2022,경기도 화성시,170639.0
2023,경기도 화성시,173797.0
2024,경기도 화성시,175814.0
2025,경기도 화성시,179872.0
2026,경기도 화성시,184677.0
2027,경기도 화성시,189577.0
2028,경기도 화성시,194309.0
2029,경기도 화성시,199189.0
2030,경기도 화성시,204008.0
2021,경상남도 거제시,49742.0
2022,경상남도 거제시,48646.0
2023,경상남도 거제시,47346.0
2024,경상남도 거제시,46108.0
2025,경상남도 거제시,45086.0
2026,경상남도 거제시,44842.0
2027,경상남도 거제시,44615.0
2028,경상남도 거제시,44457.0
2029,경상남도 거제시,44291.0
2030,경상남도 거제시,44180.0
2021,경상남도 거창군,9032.0
2022,경상남도 거창군,8851.0
2023,경상남도 거창군,8463.0
2024,경상남도 거창군,8124.0
2025,경상남도 거창군,7786.0
2026,경상남도 거창군,7729.0
2027,경상남도 거창군,7536.0
2028,경상남도 거창군,7359.0
2029,경상남도 거창군,7178.0
2030,경상남도 거창군,6999.0
2021,경상남도 고성군,7482.0
2022,경상남도 고성군,7283.0
2023,경상남도 고성군,6995.0
2024,경상남도 고성군,6572.0
2025,경상남도 고성군,6305.0
2026,경상남도 고성군,6288.0
2027,경상남도 고성군,6140.0
2028,경상남도 고성군,5977.0
2029,경상남도 고성군,5813.0
2030,경상남도 고성군,5649.0
2021,경상남도 김해시,101890.0
2022,경상남도 김해시,99552.0
2023,경상남도 김해시,97323.0
2024,경상남도 김해시,94377.0
2025,경상남도 김해시,91283.0
2026,경상남도 김해시,90049.0
2027,경상남도 김해시,88874.0
2028,경상남도 김해시,87783.0
2029,경상남도 김해시,86672.0
2030,경상남도 김해시,85704.0
2021,경상남도 남해군,4226.0
2022,경상남도 남해군,4146.0
2023,경상남도 남해군,3955.0
2024,경상남도 남해군,3606.0
2025,경상남도 남해군,3376.0
2026,경상남도 남해군,3468.0
2027,경상남도 남해군,3244.0
2028,경상남도 남해군,3191.0
2029,경상남도 남해군,3025.0
2030,경상남도 남해군,2915.0
2021,경상남도 밀양시,11761.0
2022,경상남도 밀양시,11435.0
2023,경상남도 밀양시,10720.0
2024,경상남도 밀양시,9912.0
2025,경상남도 밀양시,8898.0
2026,경상남도 밀양시,8616.0
2027,경상남도 밀양시,8148.0
2028,경상남도 밀양시,7868.0
2029,경상남도 밀양시,7426.0
2030,경상남도 밀양시,7158.0
2021,경상남도 사천시,16007.0
2022,경상남도 사천시,15481.0
2023,경상남도 사천시,14830.0
2024,경상남도 사천시,14011.0
2025,경상남도 사천시,13134.0
2026,경상남도 사천시,12869.0
2027,경상남도 사천시,12636.0
2028,경상남도 사천시,12438.0
2029,경상남도 사천시,12268.0
2030,경상남도 사천시,12123.0
2021,경상남도 산청군,3895.0
2022,경상남도 산청군,3720.0
2023,경상남도 산청군,3356.0
2024,경상남도 산청군,3103.0
2025,경상남도 산청군,2873.0
2026,경상남도 산청군,2833.0
2027,경상남도 산청군,2752.0
2028,경상남도 산청군,2691.0
2029,경상남도 산청군,2633.0
2030,경상남도 산청군,2583.0
2021,경상남도 양산시,58482.0
2022,경상남도 양산시,58085.0
2023,경상남도 양산시,56868.0
2024,경상남도 양산시,55987.0
2025,경상남도 양산시,55017.0
2026,경상남도 양산시,54662.0
2027,경상남도 양산시,54323.0
2028,경상남도 양산시,53940.0
2029,경상남도 양산시,53416.0
2030,경상남도 양산시,52851.0
2021,경상남도 의령군,3301.0
2022,경상남도 의령군,3151.0
2023,경상남도 의령군,2894.0
2024,경상남도 의령군,2544.0
2025,경상남도 의령군,2309.0
2026,경상남도 의령군,2254.0
2027,경상남도 의령군,2194.0
2028,경상남도 의령군,2116.0
2029,경상남도 의령군,2041.0
2030,경상남도 의령군,1961.0
2021,경상남도 진주시,57391.0
2022,경상남도 진주시,55920.0
2023,경상남도 진주시,53643.0
2024,경상남도 진주시,51083.0
2025,경상남도 진주시,48494.0
2026,경상남도 진주시,47520.0
2027,경상남도 진주시,46553.0
2028,경상남도 진주시,45668.0
2029,경상남도 진주시,44823.0
2030,경상남도 진주시,44011.0
2021,경상남도 창녕군,6922.0
2022,경상남도 창녕군,6597.0
2023,경상남도 창녕군,6184.0
2024,경상남도 창녕군,5660.0
2025,경상남도 창녕군,5178.0
2026,경상남도 창녕군,5154.0
2027,경상남도 창녕군,4909.0
2028,경상남도 창녕군,4697.0
2029,경상남도 창녕군,4500.0
2030,경상남도 창녕군,4316.0
2021,경상남도 창원시,156398.0
2022,경상남도 창원시,151436.0
2023,경상남도 창원시,146308.0
2024,경상남도 창원시,136387.0
2025,경상남도 창원시,124610.0
2026,경상남도 창원시,119821.0
2027,경상남도 창원시,115034.0
2028,경상남도 창원시,110880.0
2029,경상남도 창원시,106697.0
2030,경상남도 창원시,102900.0
2021,경상남도 통영시,20219.0
2022,경상남도 통영시,19468.0
2023,경상남도 통영시,18405.0
2024,경상남도 통영시,17666.0
2025,경상남도 통영시,16819.0
2026,경상남도 통영시,17176.0
2027,경상남도 통영시,16905.0
2028,경상남도 통영시,17131.0
2029,경상남도 통영시,16951.0
2030,경상남도 통영시,17055.0
2021,경상남도 하동군,5695.0
2022,경상남도 하동군,5243.0
2023,경상남도 하동군,4735.0
2024,경상남도 하동군,4337.0
2025,경상남도 하동군,4078.0
2026,경상남도 하동군,4087.0
2027,경상남도 하동군,4102.0
2028,경상남도 하동군,4108.0
2029,경상남도 하동군,4104.0
2030,경상남도 하동군,4093.0
2021,경상남도 함안군,9463.0
2022,경상남도 함안군,9126.0
2023,경상남도 함안군,8535.0
2024,경상남도 함안군,7998.0
2025,경상남도 함안군,7433.0
2026,경상남도 함안군,7131.0
2027,경상남도 함안군,6849.0
2028,경상남도 함안군,6591.0
2029,경상남도 함안군,6356.0
2030,경상남도 함안군,6139.0
2021,경상남도 함양군,4825.0
2022,경상남도 함양군,4569.0
2023,경상남도 함양군,4185.0
2024,경상남도 함양군,3853.0
2025,경상남도 함양군,3589.0
2026,경상남도 함양군,3474.0
2027,경상남도 함양군,3332.0
2028,경상남도 함양군,3190.0
2029,경상남도 함양군,3051.0
2030,경상남도 함양군,2915.0
2021,경상남도 합천군,4597.0
2022,경상남도 합천군,4450.0
2023,경상남도 합천군,4016.0
2024,경상남도 합천군,3527.0
2025,경상남도 합천군,3071.0
2026,경상남도 합천군,3037.0
2027,경상남도 합천군,2911.0
2028,경상남도 합천군,2782.0
2029,경상남도 합천군,2658.0
2030,경상남도 합천군,2545.0
2021,경상북도 경산시,37430.0
2022,경상북도 경산시,36878.0
