행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),행정구역
강원특별자치도,고성군,2051,22673.780000000002,11.93,12.01,24.56,683.22,49713.15,27.94,711.0,강원특별자치도 고성군
강원특별자치도,고성군,2052,22511.09,11.93,12.01,23.53,703.99,61355.51,26.93,679.0,강원특별자치도 고성군
강원특별자치도,고성군,2053,22349.390000000003,11.93,12.01,21.509999999999998,724.72,75723.34000000001,26.91,648.0,강원특별자치도 고성군
강원특별자치도,고성군,2054,22188.68,11.93,12.01,20.48,747.4800000000001,93455.19,25.9,619.0,강원특별자치도 고성군
강원특별자치도,고성군,2055,22028.960000000003,11.93,11.020000000000001,19.459999999999997,771.3800000000001,115337.13,24.889999999999997,591.0,강원특별자치도 고성군
강원특별자치도,고성군,2056,21871.21,11.93,11.020000000000001,18.43,796.5300000000001,142348.25,24.869999999999997,565.0,강원특별자치도 고성군
강원특별자치도,고성군,2057,21713.469999999998,11.93,11.020000000000001,17.41,824.0300000000001,175684.49000000002,23.86,540.0,강원특별자치도 고성군
강원특별자치도,고성군,2058,21557.71,11.93,11.020000000000001,17.38,852.0400000000001,216824.9,23.84,515.0,강원특별자치도 고성군
강원특별자치도,고성군,2059,21402.95,11.919999999999998,11.020000000000001,16.36,882.69,267589.10000000003,22.830000000000002,492.0,강원특별자치도 고성군
강원특별자치도,동해시,2010,95004.1,22.97,14.059999999999999,764.11,660.29,525.3100000000001,232.26999999999998,19184.0,강원특별자치도 동해시
강원특별자치도,동해시,2011,95569.08,21.98,14.049999999999999,788.8100000000001,595.13,520.62,201.57,19138.0,강원특별자치도 동해시
강원특별자치도,동해시,2012,93682.66,21.96,14.049999999999999,766.53,654.1500000000001,498.16,202.78,18271.0,강원특별자치도 동해시
강원특별자치도,동해시,2013,94921.79999999999,21.96,14.049999999999999,724.09,663.95,477.41999999999996,255.91,18273.0,강원특별자치도 동해시
강원특별자치도,동해시,2014,94339.52,21.970000000000002,14.049999999999999,700.15,600.22,479.55,243.22,17512.0,강원특별자치도 동해시
강원특별자치도,동해시,2015,93664.44,21.96,14.049999999999999,664.5400000000001,680.3699999999999,473.61,200.47,16903.0,강원특별자치도 동해시
강원특별자치도,동해시,2016,93060.02,18.0,14.049999999999999,659.19,639.6800000000001,445.41999999999996,193.56,16231.0,강원특별자치도 동해시
강원특별자치도,동해시,2017,92607.63,17.009999999999998,14.049999999999999,558.76,624.95,417.55,217.04,15703.0,강원특별자치도 동해시
강원특별자치도,동해시,2018,91042.54,17.0,14.049999999999999,470.69,730.3599999999999,374.23,189.51,15142.0,강원특별자치도 동해시
강원특별자치도,동해시,2019,90289.06,17.0,14.049999999999999,421.44,623.98,380.75,253.13,14536.0,강원특별자치도 동해시
강원특별자치도,동해시,2020,90339.5,17.009999999999998,14.049999999999999,403.53999999999996,701.3100000000001,325.81,212.22,14221.0,강원특별자치도 동해시
강원특별자치도,동해시,2021,89814.48,17.009999999999998,14.04,420.65,680.0,337.42,186.45,13709.0,강원특별자치도 동해시
강원특별자치도,동해시,2022,89166.29000000001,15.02,14.04,373.21,854.9799999999999,298.9,183.19,13210.0,강원특별자치도 동해시
강원특별자치도,동해시,2023,88731.49,15.03,15.04,345.35,757.16,298.81,181.27,12784.0,강원특별자치도 동해시
강원특별자치도,동해시,2024,88194.26999999999,15.03,15.03,323.46,855.3299999999999,271.97999999999996,178.24,12331.0,강원특별자치도 동해시
강원특별자치도,동해시,2025,87704.62000000001,14.03,15.03,303.54999999999995,808.97,264.96,174.26,11924.0,강원특별자치도 동해시
강원특별자치도,동해시,2026,87192.52,14.03,15.03,286.61,871.51,245.07999999999998,171.25,11507.0,강원특별자치도 동해시
강원특별자치도,동해시,2027,86698.93,13.04,15.02,269.68,852.88,236.09,168.25,11123.0,강원특별자치도 동해시
강원특별자치도,동해시,2028,86199.28,13.04,15.02,254.73999999999998,895.62,220.17,165.25,10737.0,강원특별자치도 동해시
강원특별자치도,동해시,2029,85706.70999999999,12.049999999999999,15.02,239.79,897.78,211.19,163.23999999999998,10376.0,강원특별자치도 동해시
강원특별자치도,동해시,2030,85218.12,12.04,15.01,226.84,926.6800000000001,198.25,160.23999999999998,10019.0,강원특별자치도 동해시
강원특별자치도,동해시,2031,84728.52,12.04,15.01,213.88,936.77,188.29,157.25,9680.0,강원특별자치도 동해시
강원특별자치도,동해시,2032,84244.88,11.05,15.01,200.93,960.72,177.34,154.25,9348.0,강원특별자치도 동해시
강원특별자치도,동해시,2033,83768.2,11.05,15.01,189.96,974.78,168.37,151.25,9031.0,강원특별자치도 동해시
강원특별자치도,동해시,2034,83298.62,10.06,15.0,178.99,997.75,159.41,149.25,8722.0,강원특별자치도 동해시
강원특별자치도,동해시,2035,82818.25,10.05,15.0,169.02,1013.7900000000001,151.42999999999998,146.26,8426.0,강원특별자치도 동해시
강원특별자치도,동해시,2036,82347.77,10.05,15.0,159.05,1036.77,142.47,144.25,8138.0,강원특별자치도 동해시
강원특별자치도,동해시,2037,81877.37999999999,9.06,15.0,150.08,1054.8,135.5,141.26000000000002,7861.0,강원특별자치도 동해시
강원특별자치도,동해시,2038,81411.03,9.06,14.99,141.1,1076.8,127.53,139.26,7593.0,강원특별자치도 동해시
강원특별자치도,동해시,2039,80954.58,9.06,14.99,133.11999999999998,1096.83,121.55,136.26999999999998,7335.0,강원특별자치도 동해시
강원특별자치도,동해시,2040,80488.25,8.06,14.99,126.13,1118.83,114.58,134.27,7084.0,강원특별자치도 동해시
강원특별자치도,동해시,2041,80031.91,8.06,14.99,118.16,1139.85,108.6,132.26999999999998,6843.0,강원특별자치도 동해시
강원특별자치도,동해시,2042,79581.53,8.06,14.98,112.16,1162.86,102.63,129.28,6610.0,강원특별자치도 동해시
강원특별자치도,동해시,2043,79126.23,8.06,14.98,105.18,1184.88,97.64,127.28,6385.0,강원특별자치도 동해시
강원특별자치도,동해시,2044,78678.89,7.07,14.98,99.19000000000001,1207.9,91.67,125.28,6167.0,강원특별자치도 동해시
강원특별자치도,동해시,2045,78229.65999999999,7.07,14.98,93.19999999999999,1231.91,86.69,123.29,5957.0,강원특별자치도 동해시
강원특별자치도,동해시,2046,77786.40000000001,7.06,14.98,88.21000000000001,1255.93,82.7,121.29,5754.0,강원특별자치도 동해시
강원특별자치도,동해시,2047,77343.2,7.06,14.969999999999999,83.21000000000001,1279.95,77.72,118.3,5558.0,강원특별자치도 동해시
강원특별자치도,동해시,2048,76903.98999999999,6.069999999999999,14.969999999999999,78.22,1304.97,73.74000000000001,116.31,5369.0,강원특별자치도 동해시
강원특별자치도,동해시,2049,76465.8,6.069999999999999,14.969999999999999,74.22,1330.98,69.75,114.30999999999999,5186.0,강원특별자치도 동해시
강원특별자치도,동해시,2050,76031.62999999999,6.069999999999999,14.969999999999999,69.23,1357.0,65.77000000000001,112.32000000000001,5009.0,강원특별자치도 동해시
강원특별자치도,동해시,2051,75599.47,6.069999999999999,14.969999999999999,65.22999999999999,1383.03,62.78,110.32000000000001,4838.0,강원특별자치도 동해시
강원특별자치도,동해시,2052,75169.33,6.06,14.959999999999999,62.230000000000004,1410.0500000000002,58.79,108.33,4673.0,강원특별자치도 동해시
강원특별자치도,동해시,2053,74741.23000000001,5.07,14.959999999999999,58.230000000000004,1437.07,55.8,107.33,4514.0,강원특별자치도 동해시
강원특별자치도,동해시,2054,74316.12000000001,5.07,14.959999999999999,55.230000000000004,1465.1,52.82,105.33,4360.0,강원특별자치도 동해시
강원특별자치도,동해시,2055,73894.04000000001,5.07,14.959999999999999,52.23,1494.12,49.83,103.33999999999999,4212.0,강원특별자치도 동해시
강원특별자치도,동해시,2056,73473.96,5.07,14.959999999999999,49.23,1523.15,47.83,101.35000000000001,4068.0,강원특별자치도 동해시
강원특별자치도,동해시,2057,73055.92,5.07,14.95,46.23,1553.17,44.839999999999996,99.36,3930.0,강원특별자치도 동해시
강원특별자치도,동해시,2058,72639.88,4.07,14.95,43.230000000000004,1583.2,42.85,98.36,3796.0,강원특별자치도 동해시
강원특별자치도,동해시,2059,72226.86,4.07,14.95,41.22,1614.2199999999998,39.86,96.37,3666.0,강원특별자치도 동해시
강원특별자치도,삼척시,2010,72277.9,20.03,19.94,480.89,590.71,359.69,160.73000000000002,13494.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2011,72546.92000000001,20.02,18.95,476.19,607.87,385.38,159.43,13410.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2012,72677.34,18.04,18.95,524.47,570.8499999999999,317.84,181.22,13135.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2013,73244.20000000001,18.04,18.95,438.90999999999997,561.05,322.58000000000004,149.09,12966.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2014,72536.48,19.029999999999998,18.95,420.85,621.78,337.45,166.78,12461.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2015,71069.56,18.04,18.95,423.46000000000004,618.6300000000001,337.39,148.53,11764.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2016,69835.98,18.0,18.95,383.81,608.3199999999999,290.58000000000004,150.44,11262.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2017,68757.37,17.990000000000002,18.95,339.24,620.05,275.45,122.96000000000001,10751.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2018,68555.46,17.0,18.95,342.31,667.6400000000001,298.77,141.49,10178.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2019,67460.94,17.0,18.95,366.56,622.02,258.25,167.87,9588.0,강원특별자치도 삼척시
