Unnamed: 0,행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
1455.0,강원특별자치도,고성군,2016,35834.46125079362,11.310883591713912,13.562260892693692,203.93328343694031,326.11910746264545,195.6815411896766,82.8382149843346,3874.0,30765.485781939067,강원특별자치도 고성군
1678.0,강원특별자치도,고성군,2017,35813.47653623616,11.250673359938572,13.562260892693692,175.19132936070378,329.77826653554416,167.80672224425493,71.19081910200843,3736.0,30924.133436784447,강원특별자치도 고성군
1901.0,강원특별자치도,고성군,2018,34385.99869716594,11.190463128163234,13.562260892693692,156.8005637401207,347.23193506455635,166.46417918384248,87.51869044151354,3165.0,29970.4421246513,강원특별자치도 고성군
2124.0,강원특별자치도,고성군,2019,33746.01220237657,11.425748602081436,12.73051703799982,169.98202891258924,322.23951944921583,155.36277828674477,77.8008855668408,2952.0,29578.94509770308,강원특별자치도 고성군
2347.0,강원특별자치도,고성군,2020,33489.7840738481,11.298509041694023,12.73051703799982,145.2024316590789,348.0931125190789,128.71040865093187,79.37002671857651,2750.0,29520.510404444023,강원특별자치도 고성군
2570.0,강원특별자치도,고성군,2021,33848.180361890896,11.10933268181639,12.73051703799982,137.81017642181448,356.31936367394843,119.9781704527882,75.52739675178323,2711.0,29955.51122975948,강원특별자치도 고성군
2793.0,강원특별자치도,고성군,2022,33848.077648124236,11.049122450041052,12.73051703799982,145.9141376030216,396.7729878124924,137.55531538268215,74.23461882108973,2651.0,30083.60701884103,강원특별자치도 고성군
3016.0,강원특별자치도,고성군,2023,33780.0,11.0,13.0,145.0,374.0,143.0,77.0,2603.0,30090.0,강원특별자치도 고성군
3239.0,강원특별자치도,고성군,2024,33717.0,11.0,13.0,145.0,385.0,141.0,77.0,2565.0,30095.0,강원특별자치도 고성군
3462.0,강원특별자치도,고성군,2025,33658.0,11.0,13.0,145.0,380.0,142.0,77.0,2536.0,30098.0,강원특별자치도 고성군
3685.0,강원특별자치도,고성군,2026,33602.0,11.0,13.0,145.0,382.0,142.0,77.0,2514.0,30100.0,강원특별자치도 고성군
3908.0,강원특별자치도,고성군,2027,33550.0,11.0,13.0,145.0,381.0,142.0,77.0,2496.0,30102.0,강원특별자치도 고성군
4131.0,강원특별자치도,고성군,2028,33502.0,11.0,13.0,145.0,382.0,142.0,77.0,2483.0,30103.0,강원특별자치도 고성군
4354.0,강원특별자치도,고성군,2029,33457.0,11.0,13.0,145.0,381.0,142.0,77.0,2472.0,30103.0,강원특별자치도 고성군
4577.0,강원특별자치도,고성군,2030,33415.0,11.0,13.0,145.0,381.0,142.0,77.0,2464.0,30104.0,강원특별자치도 고성군
4799.0,강원특별자치도,고성군,2031,33375.0,11.0,13.0,145.0,381.0,142.0,77.0,2458.0,30104.0,강원특별자치도 고성군
5022.0,강원특별자치도,고성군,2032,33338.0,11.0,13.0,145.0,381.0,142.0,77.0,2453.0,30104.0,강원특별자치도 고성군
104.0,강원특별자치도,동해시,2010,93568.75204467669,22.862320982634156,16.158872991881225,730.2736004319299,665.0866531745398,506.1073634837296,223.43133474729757,19184.0,75086.0602266849,강원특별자치도 동해시
327.0,강원특별자치도,동해시,2011,93906.17025937726,22.20155877724497,15.985863910160766,744.9698914746153,623.536227372955,508.4702155278373,202.170208918302,19138.0,75549.74597836072,강원특별자치도 동해시
550.0,강원특별자치도,동해시,2012,92568.97530051148,21.70250960238089,15.985863910160766,736.649917911081,660.8952192761251,477.1737724217425,205.4156625509808,18271.0,74899.43821170299,강원특별자치도 동해시
773.0,강원특별자치도,동해시,2013,93466.70472484386,21.664578530110106,15.947932837889985,678.3759165709849,661.9028977755412,459.5962264665569,240.72504471873893,18273.0,75876.3290684803,강원특별자치도 동해시
996.0,강원특별자치도,동해시,2014,92845.29619817447,21.88740966322851,15.947932837889985,651.4121062801801,630.708322420964,461.1403390147257,231.22992013868404,17512.0,75958.19483456478,강원특별자치도 동해시
1219.0,강원특별자치도,동해시,2015,92022.72840954542,21.863866735701897,15.908695043279176,628.7931680125538,689.8164834657031,454.7226388130184,198.89302694826924,16903.0,75780.24896809895,강원특별자치도 동해시
1442.0,강원특별자치도,동해시,2016,91318.94373041896,18.686458838092587,15.908695043279176,607.1464062680549,660.0145686333062,422.7557818269049,192.45499454130055,16231.0,75726.37230878927,강원특별자치도 동해시
1665.0,강원특별자치도,동해시,2017,90757.2585065829,17.986458838092588,15.908695043279176,520.1963713916045,650.4678258092275,400.8959413032825,203.63783501370645,15703.0,75712.99966984766,강원특별자치도 동해시
1888.0,강원특별자치도,동해시,2018,89511.50353244528,17.77421196176132,15.908695043279176,455.1165851150424,741.01537065905,370.38660828411184,187.16672950244575,15142.0,75036.0160834271,강원특별자치도 동해시
2111.0,강원특별자치도,동해시,2019,88765.50693338612,17.67456785896542,15.858872991881226,419.4970184385137,657.8955524927611,368.2933498629827,238.8422951434289,14536.0,74893.36186206131,강원특별자치도 동해시
2334.0,강원특별자치도,동해시,2020,88405.53932755269,17.818923402862215,15.908695043279176,403.4303176283301,714.2952927904279,314.84751914199995,200.71583387424715,14221.0,75000.96968976734,강원특별자치도 동해시
2557.0,강원특별자치도,동해시,2021,87596.66570675524,17.818923402862215,15.73568596155872,399.4902046454184,709.6414445269503,315.96933114468015,182.21194210523495,13709.0,74699.11117338423,강원특별자치도 동해시
2780.0,강원특별자치도,동해시,2022,86979.96437852726,16.206676526530952,15.785508012956669,365.8042430150686,869.4996609839071,284.93848086414755,173.24211997915958,13210.0,74569.44801662881,강원특별자치도 동해시
3003.0,강원특별자치도,동해시,2023,86654.0,16.0,16.0,341.0,766.0,268.0,191.0,13318.0,74529.0,강원특별자치도 동해시
3226.0,강원특별자치도,동해시,2024,86342.0,16.0,16.0,325.0,828.0,251.0,195.0,13418.0,74488.0,강원특별자치도 동해시
3449.0,강원특별자치도,동해시,2025,86043.0,16.0,16.0,316.0,791.0,234.0,195.0,13509.0,74448.0,강원특별자치도 동해시
3672.0,강원특별자치도,동해시,2026,85758.0,16.0,16.0,310.0,813.0,217.0,196.0,13593.0,74408.0,강원특별자치도 동해시
3895.0,강원특별자치도,동해시,2027,85484.0,16.0,16.0,306.0,800.0,200.0,196.0,13670.0,74368.0,강원특별자치도 동해시
4118.0,강원특별자치도,동해시,2028,85223.0,16.0,16.0,303.0,808.0,183.0,196.0,13741.0,74329.0,강원특별자치도 동해시
4341.0,강원특별자치도,동해시,2029,84973.0,16.0,16.0,302.0,803.0,166.0,196.0,13805.0,74290.0,강원특별자치도 동해시
4564.0,강원특별자치도,동해시,2030,84733.0,16.0,16.0,301.0,806.0,149.0,196.0,13865.0,74252.0,강원특별자치도 동해시
4786.0,강원특별자치도,동해시,2031,84504.0,16.0,16.0,300.0,804.0,132.0,196.0,13920.0,74213.0,강원특별자치도 동해시
5009.0,강원특별자치도,동해시,2032,84285.0,16.0,16.0,300.0,805.0,115.0,196.0,13970.0,74175.0,강원특별자치도 동해시
107.0,강원특별자치도,삼척시,2010,78544.91010155396,20.925577625432226,19.0129855611557,555.3170837591907,614.5667613605534,401.8318659898045,177.78188731338122,13494.0,63659.383586114,강원특별자치도 삼척시
330.0,강원특별자치도,삼척시,2011,78719.70598957171,20.80795303765338,18.3129855611557,553.700290606278,617.900502965421,420.3350548435641,172.34963394308613,13410.0,63971.85081499709,강원특별자치도 삼척시
553.0,강원특별자치도,삼척시,2012,78482.27828157418,19.264744057607498,18.3129855611557,584.3917171814915,603.8041653364729,365.677902212955,187.75203393994033,13135.0,64098.633085791786,강원특별자치도 삼척시
776.0,강원특별자치도,삼척시,2013,79015.90425489619,19.20362749451324,18.27946635000825,505.31510097975433,593.490246785797,362.9843661591613,175.8897131835317,12966.0,64796.39573231508,강원특별자치도 삼척시
999.0,강원특별자치도,삼척시,2014,78353.09905737801,19.93958365043309,18.27946635000825,484.84104833987544,627.9625664148675,371.81613433263453,183.24353852322264,12461.0,64675.45346546569,강원특별자치도 삼척시
1222.0,강원특별자치도,삼척시,2015,77122.88441311609,19.29225741429903,18.23681500340472,481.7011578267316,642.2417364384117,368.44876935538696,164.3575553965972,11764.0,64112.373983173165,강원특별자치도 삼척시
1445.0,강원특별자치도,삼척시,2016,76094.87146576673,18.32251669609661,18.20921765145792,441.91278465115494,629.1128753896418,328.09156392349365,163.91418419354716,11262.0,63623.36147733218,강원특별자치도 삼척시
1668.0,강원특별자치도,삼척시,2017,75177.93351291161,18.18983811366105,18.20921765145792,387.4264806697525,633.2926512303559,312.53755900252423,146.92242878066514,10751.0,63227.933793666394,강원특별자치도 삼척시
1891.0,강원특별자치도,삼척시,2018,74671.80964738113,17.447186767057524,18.20921765145792,372.61769217811934,689.4918480541407,319.2399356120872,155.94061556159127,10178.0,63281.99165160575,강원특별자치도 삼척시
2114.0,강원특별자치도,삼척시,2019,73723.82626669694,17.37527445521782,18.173261495538068,377.6521518425215,638.9441993263841,290.8846035930995,185.90305652273793,9588.0,62917.96463250588,강원특별자치도 삼척시
2337.0,강원특별자치도,삼척시,2020,72262.48964848323,18.025927917930623,18.20921765145792,366.547399353101,660.8837397212577,241.91884565147947,154.0139348075958,8756.0,62178.2999260256,강원특별자치도 삼척시
2560.0,강원특별자치도,삼척시,2021,70754.1227183988,18.025927917930623,17.50921765145792,315.89620180337437,693.5041141123114,221.20204745783263,147.8822872350233,8350.0,61107.094819850354,강원특별자치도 삼척시
2783.0,강원특별자치도,삼척시,2022,70502.20422310507,16.962724702562365,17.54517380737777,312.1487121687688,794.3381152739297,217.74695882442796,124.97398703709511,8113.0,61189.362609041054,강원특별자치도 삼척시
3006.0,강원특별자치도,삼척시,2023,70472.0,16.0,17.0,296.0,797.0,217.0,132.0,7925.0,61206.0,강원특별자치도 삼척시
3229.0,강원특별자치도,삼척시,2024,70462.0,17.0,18.0,279.0,797.0,217.0,128.0,7786.0,61197.0,강원특별자치도 삼척시
3452.0,강원특별자치도,삼척시,2025,70459.0,17.0,17.0,263.0,797.0,217.0,130.0,7683.0,61202.0,강원특별자치도 삼척시
3675.0,강원특별자치도,삼척시,2026,70458.0,17.0,18.0,247.0,797.0,217.0,128.0,7607.0,61200.0,강원특별자치도 삼척시
3898.0,강원특별자치도,삼척시,2027,70457.0,17.0,17.0,230.0,797.0,217.0,129.0,7551.0,61201.0,강원특별자치도 삼척시
4121.0,강원특별자치도,삼척시,2028,70457.0,17.0,18.0,214.0,797.0,217.0,129.0,7509.0,61200.0,강원특별자치도 삼척시
4344.0,강원특별자치도,삼척시,2029,70457.0,17.0,17.0,197.0,797.0,217.0,129.0,7478.0,61201.0,강원특별자치도 삼척시
4567.0,강원특별자치도,삼척시,2030,70457.0,17.0,18.0,181.0,797.0,217.0,129.0,7456.0,61200.0,강원특별자치도 삼척시
4789.0,강원특별자치도,삼척시,2031,70457.0,17.0,17.0,165.0,797.0,217.0,129.0,7439.0,61201.0,강원특별자치도 삼척시
5012.0,강원특별자치도,삼척시,2032,70457.0,17.0,18.0,148.0,797.0,217.0,129.0,7426.0,61200.0,강원특별자치도 삼척시
106.0,강원특별자치도,속초시,2010,73354.7689681222,13.48102487626104,13.113139092067888,597.7780879500034,513.3576491282826,385.97595218488294,216.9076905351188,17637.0,58443.844530623675,강원특별자치도 속초시
329.0,강원특별자치도,속초시,2011,72953.33786528405,13.48102487626104,13.113139092067888,577.8135277737362,495.6506773542697,367.4873163850581,182.28355189408984,17077.0,58478.12795619855,강원특별자치도 속초시
552.0,강원특별자치도,속초시,2012,72868.72877587641,13.24621473010342,13.113139092067888,559.7057498829454,488.7208634776216,384.2709044078148,182.82956893294093,16606.0,58763.20123056277,강원특별자치도 속초시
775.0,강원특별자치도,속초시,2013,72543.98854155617,13.24621473010342,13.113139092067888,512.2120432257893,499.4584890967135,373.51759041788455,189.2903122048296,15914.0,58982.26761524732,강원특별자치도 속초시
998.0,강원특별자치도,속초시,2014,72021.09191909006,13.27675913896832,13.113139092067888,513.7160202954215,509.6030799101846,383.2798832337243,182.50911720940385,15098.0,59125.881478167816,강원특별자치도 속초시
1221.0,강원특별자치도,속초시,2015,71693.9812584407,11.268392365563026,13.113139092067888,545.1156082070406,531.985096738649,339.79230118257294,182.4684064269327,14397.0,59386.71478240166,강원특별자치도 속초시
1444.0,강원특별자치도,속초시,2016,71481.06596651871,11.085125912373618,13.113139092067888,447.7093570323481,528.2913262178832,315.98260047390653,166.609723428596,13900.0,59622.3194371288,강원특별자치도 속초시
1667.0,강원특별자치도,속초시,2017,71800.83533238778,11.041939177140309,13.113139092067888,342.6066332444997,533.2131057412898,317.80274678086323,160.5875730557159,13432.0,60348.12836451041,강원특별자치도 속초시
1890.0,강원특별자치도,속초시,2018,71193.36423376454,10.998752441906996,13.113139092067888,363.26185906581543,543.8035992140833,304.5259518022293,181.17809992705435,12988.0,60153.88165021524,강원특별자치도 속초시
2113.0,강원특별자치도,속초시,2019,71215.58241858151,12.337663624177194,12.845212465591649,359.24116774315934,525.8703748546509,284.81021653502665,180.8620950803871,12366.0,60682.29371334613,강원특별자치도 속초시
2336.0,강원특별자치도,속초시,2020,71798.99933358222,11.657094671332548,12.875756874456547,352.1881975872708,558.0802198056207,273.63462135161774,186.4656157198501,12111.0,61535.07412232822,강원특별자치도 속초시
2559.0,강원특별자치도,속초시,2021,71914.12103204579,10.840731369165312,12.875756874456547,325.3552850901304,590.67406325102,263.29476678935214,165.50465006241922,11852.0,61889.33813963157,강원특별자치도 속초시
2782.0,강원특별자치도,속초시,2022,71862.7792925156,10.797544633932002,12.90630128332145,317.69364255712617,663.2098457696103,268.91292903165373,171.4399536976796,11328.0,62280.29482767733,강원특별자치도 속초시
3005.0,강원특별자치도,속초시,2023,71805.0,11.0,13.0,336.0,713.0,261.0,173.0,11283.0,62594.0,강원특별자치도 속초시
3228.0,강원특별자치도,속초시,2024,71761.0,11.0,13.0,330.0,753.0,254.0,173.0,11266.0,62908.0,강원특별자치도 속초시
