연도,행정구역,학령인구(명)
2027,경기도 광명시,43069.0
2028,경기도 광명시,42534.0
2029,경기도 광명시,42111.0
2030,경기도 광명시,41668.0
2021,경기도 광주시,54177.0
2022,경기도 광주시,54826.0
2023,경기도 광주시,55350.0
2024,경기도 광주시,55070.0
2025,경기도 광주시,54833.0
2026,경기도 광주시,54572.0
2027,경기도 광주시,54233.0
2028,경기도 광주시,53853.0
2029,경기도 광주시,53440.0
2030,경기도 광주시,53020.0
2021,경기도 구리시,31873.0
2022,경기도 구리시,30369.0
2023,경기도 구리시,29050.0
2024,경기도 구리시,28110.0
2025,경기도 구리시,27173.0
2026,경기도 구리시,27020.0
2027,경기도 구리시,26921.0
2028,경기도 구리시,26832.0
2029,경기도 구리시,26742.0
2030,경기도 구리시,26654.0
2021,경기도 군포시,45905.0
2022,경기도 군포시,44080.0
2023,경기도 군포시,42010.0
2024,경기도 군포시,40276.0
2025,경기도 군포시,39005.0
2026,경기도 군포시,38915.0
2027,경기도 군포시,38765.0
2028,경기도 군포시,38503.0
2029,경기도 군포시,38378.0
2030,경기도 군포시,38301.0
2021,경기도 김포시,79042.0
2022,경기도 김포시,82660.0
2023,경기도 김포시,85086.0
2024,경기도 김포시,86204.0
2025,경기도 김포시,86991.0
2026,경기도 김포시,88641.0
2027,경기도 김포시,90255.0
2028,경기도 김포시,92068.0
2029,경기도 김포시,93846.0
2030,경기도 김포시,95820.0
2021,경기도 남양주시,119684.0
2022,경기도 남양주시,120385.0
2023,경기도 남양주시,120121.0
2024,경기도 남양주시,118792.0
2025,경기도 남양주시,117445.0
2026,경기도 남양주시,116713.0
2027,경기도 남양주시,116029.0
2028,경기도 남양주시,115189.0
2029,경기도 남양주시,114466.0
2030,경기도 남양주시,113756.0
2021,경기도 동두천시,14356.0
2022,경기도 동두천시,13888.0
2023,경기도 동두천시,13334.0
2024,경기도 동두천시,12504.0
2025,경기도 동두천시,11550.0
2026,경기도 동두천시,10847.0
2027,경기도 동두천시,10287.0
2028,경기도 동두천시,9866.0
2029,경기도 동두천시,9528.0
2030,경기도 동두천시,9280.0
2021,경기도 부천시,115989.0
2022,경기도 부천시,110949.0
2023,경기도 부천시,105741.0
2024,경기도 부천시,100907.0
2025,경기도 부천시,96820.0
2026,경기도 부천시,94074.0
2027,경기도 부천시,91725.0
2028,경기도 부천시,89599.0
2029,경기도 부천시,87724.0
2030,경기도 부천시,86104.0
2021,경기도 성남시,139442.0
2022,경기도 성남시,136525.0
2023,경기도 성남시,134105.0
2024,경기도 성남시,130386.0
2025,경기도 성남시,127419.0
2026,경기도 성남시,125614.0
2027,경기도 성남시,124110.0
2028,경기도 성남시,123128.0
2029,경기도 성남시,122225.0
2030,경기도 성남시,121641.0
2021,경기도 수원시,194117.0
2022,경기도 수원시,189851.0
2023,경기도 수원시,185985.0
2024,경기도 수원시,182253.0
2025,경기도 수원시,177680.0
2026,경기도 수원시,174274.0
2027,경기도 수원시,171341.0
2028,경기도 수원시,168699.0
2029,경기도 수원시,166607.0
2030,경기도 수원시,164536.0
2021,경기도 시흥시,80412.0
2022,경기도 시흥시,81461.0
2023,경기도 시흥시,81813.0
2024,경기도 시흥시,81667.0
2025,경기도 시흥시,80377.0
2026,경기도 시흥시,79180.0
2027,경기도 시흥시,78166.0
2028,경기도 시흥시,77276.0
2029,경기도 시흥시,76415.0
