행정구역(시도),행정구역(시군구),연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률,행정구역
강원특별자치도,영월군,2026,38625.0,-465.0,-1.1967468661410312,14.0,13.0,123.0,417.0,119.0,88.0,-196.0,3176.0,-4.953721575826409,2.0,강원특별자치도 영월군
강원특별자치도,영월군,2027,38625.0,-465.0,-1.1967471584980731,14.0,13.0,123.0,419.0,119.0,88.0,-196.0,2961.0,-4.937133592999035,2.0,강원특별자치도 영월군
강원특별자치도,영월군,2028,38625.0,-465.0,-1.1967472132822945,14.0,13.0,123.0,418.0,119.0,88.0,-196.0,2751.0,-4.947632189023093,2.0,강원특별자치도 영월군
강원특별자치도,영월군,2029,38625.0,-465.0,-1.196747223548204,14.0,13.0,123.0,418.0,119.0,88.0,-196.0,2545.0,-4.940987588553982,2.0,강원특별자치도 영월군
강원특별자치도,영월군,2030,38625.0,-465.0,-1.196747225471913,14.0,13.0,123.0,418.0,119.0,88.0,-196.0,2344.0,-4.945192980902915,2.0,강원특별자치도 영월군
강원특별자치도,원주시,2013,324837.0,952.0,0.293931488,66.0,47.0,2546.0,1790.0,1756.0,845.0,80.0,66383.0,-2.088526379,1.776,강원특별자치도 원주시
강원특별자치도,원주시,2014,327292.0,2455.0,0.75576366,70.0,48.0,2509.0,1784.0,1708.0,799.0,1710.0,64692.0,-2.547338927,2.979,강원특별자치도 원주시
강원특별자치도,원주시,2015,332995.0,5703.0,1.742480721,71.0,48.0,2605.0,1836.0,1789.0,843.0,4774.0,63605.0,-1.680269585,3.265,강원특별자치도 원주시
강원특별자치도,원주시,2016,337979.0,4984.0,1.49671917,73.0,49.0,2468.0,1927.0,1763.0,823.0,4275.0,62770.0,-1.312789875,3.979,강원특별자치도 원주시
강원특별자치도,원주시,2017,341337.0,3358.0,0.993552854,72.0,49.0,2291.0,1998.0,1740.0,795.0,3087.0,61505.0,-2.01529393,4.419,강원특별자치도 원주시
