,행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
106,강원특별자치도,속초시,2010,84302,12,12,700,569,444,261,17637,66665,강원특별자치도 속초시
107,강원특별자치도,삼척시,2010,72046,20,20,478,590,358,160,13494,58552,강원특별자치도 삼척시
108,강원특별자치도,홍천군,2010,69893,27,26,492,634,346,146,12117,57776,강원특별자치도 홍천군
109,강원특별자치도,횡성군,2010,44254,15,16,280,410,201,94,7229,37025,강원특별자치도 횡성군
110,강원특별자치도,영월군,2010,40407,18,13,233,427,171,103,6463,33944,강원특별자치도 영월군
111,강원특별자치도,평창군,2010,43622,21,20,275,397,197,101,7009,36613,강원특별자치도 평창군
112,강원특별자치도,정선군,2010,41045,19,17,271,380,258,98,6046,34999,강원특별자치도 정선군
113,강원특별자치도,철원군,2010,48928,17,17,464,344,262,97,9201,39727,강원특별자치도 철원군
114,강원특별자치도,화천군,2010,24364,14,13,243,197,154,63,3981,20383,강원특별자치도 화천군
115,강원특별자치도,양구군,2010,21843,10,10,205,168,156,47,4070,17773,강원특별자치도 양구군
116,강원특별자치도,인제군,2010,31842,19,14,386,253,208,71,5546,26296,강원특별자치도 인제군
117,강원특별자치도,고성군,2010,30112,11,14,170,306,176,76,4765,25347,강원특별자치도 고성군
118,강원특별자치도,양양군,2010,27929,16,14,182,273,127,76,4362,23567,강원특별자치도 양양군
119,충청북도,청주시,2010,655971,97,59,6950,2633,4022,1404,151613,504358,충청북도 청주시
120,충청북도,충주시,2010,208481,48,38,1722,1369,1120,520,42402,166079,충청북도 충주시
121,충청북도,제천시,2010,137264,35,24,1062,1018,691,350,27027,110237,충청북도 제천시
122,충청북도,보은군,2010,34956,17,15,182,429,153,60,5190,29766,충청북도 보은군
123,충청북도,옥천군,2010,54025,20,13,354,513,273,112,8840,45185,충청북도 옥천군
124,충청북도,영동군,2010,50523,18,15,342,565,220,95,8122,42401,충청북도 영동군
125,충청북도,진천군,2010,62094,17,15,629,472,451,172,11716,50378,충청북도 진천군
