행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
강원특별자치도,삼척시,2030,60997.0,17.0,18.0,295.0,761.0,190.0,121.0,7456.0,55303.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2031,60747.0,17.0,18.0,289.0,761.0,190.0,121.0,7439.0,55303.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2032,60508.0,17.0,18.0,295.0,761.0,190.0,121.0,7426.0,55303.0,강원특별자치도 삼척시
강원특별자치도,속초시,2010,84302.0,12.0,12.0,700.0,569.0,444.0,261.0,17637.0,66665.0,강원특별자치도 속초시
강원특별자치도,속초시,2011,83745.0,12.0,12.0,667.0,546.0,420.0,211.0,17077.0,66668.0,강원특별자치도 속초시
강원특별자치도,속초시,2012,83579.0,12.0,12.0,645.0,528.0,442.0,215.0,16606.0,66973.0,강원특별자치도 속초시
강원특별자치도,속초시,2013,83109.0,12.0,12.0,596.0,549.0,428.0,221.0,15914.0,67195.0,강원특별자치도 속초시
강원특별자치도,속초시,2014,82432.0,12.0,12.0,609.0,563.0,442.0,212.0,15098.0,67334.0,강원특별자치도 속초시
강원특별자치도,속초시,2015,81992.0,9.0,12.0,645.0,587.0,382.0,216.0,14397.0,67595.0,강원특별자치도 속초시
강원특별자치도,속초시,2016,81793.0,9.0,12.0,517.0,581.0,353.0,190.0,13900.0,67893.0,강원특별자치도 속초시
강원특별자치도,속초시,2017,82273.0,9.0,12.0,383.0,587.0,358.0,186.0,13432.0,68841.0,강원특별자치도 속초시
강원특별자치도,속초시,2018,81682.0,9.0,12.0,416.0,597.0,344.0,215.0,12988.0,68694.0,강원특별자치도 속초시
강원특별자치도,속초시,2019,81786.0,11.0,12.0,414.0,568.0,316.0,211.0,12366.0,69420.0,강원특별자치도 속초시
강원특별자치도,속초시,2020,82665.0,10.0,12.0,415.0,612.0,312.0,226.0,12111.0,70554.0,강원특별자치도 속초시
강원특별자치도,속초시,2021,82791.0,9.0,12.0,380.0,656.0,305.0,195.0,11852.0,70939.0,강원특별자치도 속초시
강원특별자치도,속초시,2022,82806.0,9.0,12.0,369.0,725.0,309.0,203.0,11328.0,71478.0,강원특별자치도 속초시
강원특별자치도,속초시,2023,82752.0,9.0,12.0,387.0,764.0,301.0,205.0,11283.0,71872.0,강원특별자치도 속초시
강원특별자치도,속초시,2024,82712.0,9.0,12.0,382.0,791.0,294.0,205.0,11266.0,72266.0,강원특별자치도 속초시
강원특별자치도,속초시,2025,82683.0,9.0,12.0,383.0,810.0,286.0,205.0,11260.0,72659.0,강원특별자치도 속초시
강원특별자치도,속초시,2026,82662.0,9.0,12.0,383.0,822.0,279.0,205.0,11257.0,73053.0,강원특별자치도 속초시
강원특별자치도,속초시,2027,82646.0,9.0,12.0,383.0,831.0,271.0,205.0,11256.0,73447.0,강원특별자치도 속초시
강원특별자치도,속초시,2028,82635.0,9.0,12.0,383.0,837.0,264.0,205.0,11256.0,73840.0,강원특별자치도 속초시
강원특별자치도,속초시,2029,82627.0,9.0,12.0,383.0,841.0,256.0,205.0,11256.0,74234.0,강원특별자치도 속초시
강원특별자치도,속초시,2030,82621.0,9.0,12.0,383.0,843.0,249.0,205.0,11256.0,74628.0,강원특별자치도 속초시
강원특별자치도,속초시,2031,82616.0,9.0,12.0,383.0,845.0,241.0,205.0,11256.0,75021.0,강원특별자치도 속초시
강원특별자치도,속초시,2032,82613.0,9.0,12.0,383.0,846.0,234.0,205.0,11256.0,75415.0,강원특별자치도 속초시
강원특별자치도,양구군,2010,21843.0,10.0,10.0,205.0,168.0,156.0,47.0,4070.0,17773.0,강원특별자치도 양구군
강원특별자치도,양구군,2011,22285.0,10.0,10.0,224.0,188.0,141.0,35.0,4179.0,18106.0,강원특별자치도 양구군
강원특별자치도,양구군,2012,22799.0,9.0,10.0,227.0,200.0,130.0,54.0,4264.0,18535.0,강원특별자치도 양구군
강원특별자치도,양구군,2013,23594.0,9.0,10.0,194.0,161.0,184.0,63.0,4257.0,19337.0,강원특별자치도 양구군
강원특별자치도,양구군,2014,23888.0,9.0,10.0,208.0,175.0,156.0,57.0,4213.0,19675.0,강원특별자치도 양구군
강원특별자치도,양구군,2015,24089.0,9.0,10.0,228.0,203.0,185.0,47.0,4070.0,20019.0,강원특별자치도 양구군
강원특별자치도,양구군,2016,24010.0,9.0,10.0,208.0,167.0,168.0,48.0,3861.0,20149.0,강원특별자치도 양구군
강원특별자치도,양구군,2017,23835.0,9.0,10.0,201.0,173.0,172.0,44.0,3743.0,20092.0,강원특별자치도 양구군
강원특별자치도,양구군,2018,23408.0,9.0,10.0,164.0,176.0,152.0,42.0,3602.0,19806.0,강원특별자치도 양구군
강원특별자치도,양구군,2019,22764.0,9.0,10.0,171.0,186.0,135.0,55.0,3409.0,19355.0,강원특별자치도 양구군
강원특별자치도,양구군,2020,22278.0,10.0,10.0,159.0,193.0,113.0,62.0,3249.0,19029.0,강원특별자치도 양구군
강원특별자치도,양구군,2021,21748.0,10.0,10.0,161.0,185.0,99.0,44.0,3062.0,18686.0,강원특별자치도 양구군
강원특별자치도,양구군,2022,21383.0,10.0,10.0,148.0,216.0,102.0,56.0,2937.0,18446.0,강원특별자치도 양구군
강원특별자치도,양구군,2023,21127.0,10.0,10.0,150.0,187.0,100.0,51.0,2841.0,18274.0,강원특별자치도 양구군
강원특별자치도,양구군,2024,20943.0,10.0,10.0,151.0,190.0,101.0,51.0,2760.0,18146.0,강원특별자치도 양구군
강원특별자치도,양구군,2025,20809.0,10.0,10.0,151.0,190.0,101.0,50.0,2692.0,18052.0,강원특별자치도 양구군
강원특별자치도,양구군,2026,20713.0,10.0,10.0,151.0,190.0,101.0,50.0,2634.0,17982.0,강원특별자치도 양구군
강원특별자치도,양구군,2027,20643.0,10.0,10.0,151.0,190.0,101.0,50.0,2586.0,17930.0,강원특별자치도 양구군
강원특별자치도,양구군,2028,20593.0,10.0,10.0,151.0,190.0,101.0,50.0,2545.0,17892.0,강원특별자치도 양구군
강원특별자치도,양구군,2029,20557.0,10.0,10.0,151.0,190.0,101.0,50.0,2511.0,17864.0,강원특별자치도 양구군
강원특별자치도,양구군,2030,20531.0,10.0,10.0,151.0,190.0,101.0,50.0,2482.0,17843.0,강원특별자치도 양구군
강원특별자치도,양구군,2031,20512.0,10.0,10.0,151.0,190.0,101.0,50.0,2458.0,17828.0,강원특별자치도 양구군
강원특별자치도,양구군,2032,20498.0,10.0,10.0,151.0,190.0,101.0,50.0,2438.0,17817.0,강원특별자치도 양구군
강원특별자치도,양양군,2010,27929.0,16.0,14.0,182.0,273.0,127.0,76.0,4362.0,23567.0,강원특별자치도 양양군
강원특별자치도,양양군,2011,27942.0,16.0,14.0,186.0,277.0,115.0,85.0,4224.0,23718.0,강원특별자치도 양양군
강원특별자치도,양양군,2012,27802.0,15.0,14.0,172.0,269.0,129.0,70.0,4040.0,23762.0,강원특별자치도 양양군
강원특별자치도,양양군,2013,27659.0,15.0,14.0,146.0,266.0,124.0,61.0,3868.0,23791.0,강원특별자치도 양양군
강원특별자치도,양양군,2014,27521.0,15.0,14.0,128.0,263.0,147.0,63.0,3744.0,23777.0,강원특별자치도 양양군
강원특별자치도,양양군,2015,27479.0,15.0,14.0,134.0,266.0,109.0,59.0,3622.0,23857.0,강원특별자치도 양양군
강원특별자치도,양양군,2016,27218.0,15.0,14.0,133.0,295.0,99.0,78.0,3423.0,23795.0,강원특별자치도 양양군
강원특별자치도,양양군,2017,27207.0,15.0,14.0,95.0,301.0,118.0,70.0,3309.0,23898.0,강원특별자치도 양양군
강원특별자치도,양양군,2018,27347.0,15.0,14.0,134.0,270.0,102.0,61.0,3227.0,24120.0,강원특별자치도 양양군
강원특별자치도,양양군,2019,27726.0,15.0,13.0,117.0,297.0,112.0,69.0,3157.0,24569.0,강원특별자치도 양양군
강원특별자치도,양양군,2020,27946.0,15.0,13.0,89.0,305.0,105.0,53.0,3046.0,24900.0,강원특별자치도 양양군
