행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),행정구역
부산광역시,중구,2052,22350.0,6.0,3.0,6.0,3032.0,15.0,38.0,320.0,부산광역시 중구
부산광역시,중구,2053,21927.0,6.0,3.0,6.0,3226.0,14.0,36.0,297.0,부산광역시 중구
부산광역시,중구,2054,21512.0,6.0,3.0,5.0,3433.0,13.0,35.0,275.0,부산광역시 중구
부산광역시,중구,2055,21105.0,6.0,3.0,5.0,3653.0,12.0,34.0,256.0,부산광역시 중구
부산광역시,중구,2056,20705.0,6.0,3.0,4.0,3887.0,11.0,33.0,237.0,부산광역시 중구
부산광역시,중구,2057,20313.0,6.0,3.0,4.0,4137.0,10.0,32.0,220.0,부산광역시 중구
부산광역시,중구,2058,19929.0,6.0,3.0,3.0,4402.0,10.0,31.0,204.0,부산광역시 중구
부산광역시,중구,2059,19552.0,6.0,3.0,3.0,4684.0,9.0,30.0,190.0,부산광역시 중구
부산광역시,해운대구,2010,426729.0,37.0,32.0,3368.0,1970.0,2297.0,883.0,89183.0,부산광역시 해운대구
부산광역시,해운대구,2011,425618.0,37.0,32.0,3493.0,1987.0,2209.0,857.0,86682.0,부산광역시 해운대구
부산광역시,해운대구,2012,428188.0,38.0,33.0,3473.0,2154.0,2290.0,862.0,84922.0,부산광역시 해운대구
부산광역시,해운대구,2013,425536.0,39.0,33.0,3148.0,2006.0,2212.0,850.0,82002.0,부산광역시 해운대구
부산광역시,해운대구,2014,423531.0,39.0,33.0,3092.0,1967.0,1936.0,819.0,78680.0,부산광역시 해운대구
부산광역시,해운대구,2015,422818.0,42.0,33.0,3022.0,2211.0,2040.0,797.0,75384.0,부산광역시 해운대구
부산광역시,해운대구,2016,419853.0,42.0,33.0,2845.0,2201.0,1760.0,749.0,72344.0,부산광역시 해운대구
부산광역시,해운대구,2017,412039.0,40.0,33.0,2275.0,2152.0,1576.0,743.0,68977.0,부산광역시 해운대구
부산광역시,해운대구,2018,409347.0,40.0,33.0,2084.0,2381.0,1456.0,713.0,66365.0,부산광역시 해운대구
부산광역시,해운대구,2019,406102.0,39.0,33.0,1948.0,2335.0,1471.0,724.0,63881.0,부산광역시 해운대구
부산광역시,해운대구,2020,402169.0,38.0,32.0,1728.0,2287.0,1306.0,743.0,61828.0,부산광역시 해운대구
부산광역시,해운대구,2021,396438.0,38.0,32.0,1577.0,2405.0,1137.0,657.0,59843.0,부산광역시 해운대구
부산광역시,해운대구,2022,386785.0,36.0,32.0,1512.0,2873.0,1048.0,655.0,56960.0,부산광역시 해운대구
부산광역시,해운대구,2023,379500.0,36.0,33.0,1432.0,2913.0,962.0,635.0,54441.0,부산광역시 해운대구
부산광역시,해운대구,2024,372672.0,35.0,33.0,1339.0,3011.0,883.0,621.0,52098.0,부산광역시 해운대구
