행정구역(시도),행정구역(시군구),연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률
울산광역시,울주군,2013,208646.0,806.0,0.387798306,52.0,33.0,2034.0,1152.0,1275.0,496.0,-178.0,41878.0,-1.975562942,1.178
세종특별자치시,세종특별자치시,2013,122153.0,9036.0,7.98818922,25.0,22.0,1111.0,812.0,743.0,240.0,8696.0,21675.0,7.701863354,5.498
경기도,수원시,2013,1148157.0,27899.0,2.490408459,182.0,95.0,11360.0,4395.0,8095.0,2436.0,20286.0,238154.0,-0.71497359,0.522
경기도,성남시,2013,979534.0,919.0,0.093908227,120.0,66.0,8847.0,3881.0,7060.0,2065.0,-4537.0,181735.0,-3.126332623,1.361
경기도,의정부시,2013,430976.0,1829.0,0.426194288,62.0,31.0,3245.0,1924.0,2415.0,1078.0,354.0,84395.0,-2.074655094,0.381
경기도,안양시,2013,607877.0,-3535.0,-0.578169876,86.0,41.0,5182.0,2225.0,3913.0,1116.0,-6864.0,118874.0,-4.366784123,1.015
경기도,부천시,2013,863720.0,-6224.0,-0.715448351,119.0,62.0,7221.0,3466.0,5653.0,2026.0,-10392.0,162389.0,-3.950481463,1.382
경기도,광명시,2013,353100.0,-2460.0,-0.691866352,50.0,24.0,3643.0,1330.0,2442.0,694.0,-5055.0,66586.0,-1.792008967,1.103
경기도,평택시,2013,442034.0,7729.0,1.779624918,101.0,52.0,4262.0,2143.0,3019.0,1243.0,5323.0,88956.0,-0.226564077,0.938
경기도,동두천시,2013,97557.0,382.0,0.393105223,20.0,11.0,814.0,659.0,569.0,371.0,202.0,17694.0,-0.995971352,0.055
경기도,안산시,2013,713666.0,-1442.0,-0.201647863,96.0,54.0,6122.0,2554.0,4804.0,2227.0,-5460.0,154717.0,-3.406919975,1.074
경기도,고양시,2013,990571.0,20655.0,2.129565859,154.0,81.0,7566.0,4085.0,5455.0,2052.0,16836.0,207475.0,-1.685526366,0.332
경기도,과천시,2013,70578.0,-490.0,-0.689480498,8.0,4.0,556.0,238.0,383.0,96.0,-816.0,15007.0,-4.353091141,0.826
경기도,구리시,2013,189680.0,-2661.0,-1.383480381,32.0,15.0,1635.0,685.0,1053.0,409.0,-3655.0,38186.0,-3.898326412,0.651
경기도,남양주시,2013,618305.0,18766.0,3.130071605,96.0,55.0,5505.0,2624.0,3397.0,1601.0,15653.0,125394.0,2.293140158,0.766
경기도,오산시,2013,205460.0,5169.0,2.580745016,47.0,21.0,2683.0,659.0,1600.0,537.0,3016.0,41362.0,2.151095305,1.093
경기도,시흥시,2013,396765.0,-2720.0,-0.680876629,60.0,36.0,3533.0,1400.0,2476.0,1218.0,-5100.0,86811.0,-3.199152542,1.188
경기도,군포시,2013,286344.0,-497.0,-0.173266723,49.0,26.0,3159.0,904.0,1949.0,541.0,-2807.0,56079.0,-2.945604957,0.936
경기도,의왕시,2013,159772.0,5015.0,3.240564239,23.0,13.0,1548.0,606.0,1000.0,312.0,3904.0,30365.0,-0.164392569,0.991
경기도,하남시,2013,145096.0,-1173.0,-0.801947097,22.0,13.0,1112.0,659.0,798.0,373.0,-1689.0,24959.0,-2.431492123,3.778
경기도,용인시,2013,941477.0,25518.0,2.785932558,158.0,99.0,9032.0,3308.0,5575.0,1732.0,19395.0,199298.0,1.653090683,1.158
경기도,파주시,2013,401718.0,7517.0,1.906895213,93.0,57.0,3965.0,1950.0,2459.0,1049.0,5292.0,78285.0,1.24806001,0.014
경기도,이천시,2013,205479.0,562.0,0.274257382,51.0,31.0,2013.0,1065.0,1364.0,514.0,-456.0,41447.0,-0.851613521,1.14
경기도,안성시,2013,182173.0,565.0,0.311109643,52.0,34.0,1733.0,1122.0,1150.0,487.0,-112.0,33696.0,-0.739387869,0.83
경기도,김포시,2013,312305.0,24873.0,8.653525008,72.0,39.0,3010.0,1272.0,1885.0,685.0,22955.0,60107.0,5.537899672,0.265
경기도,화성시,2013,530251.0,4761.0,0.906011532,118.0,69.0,6525.0,1867.0,3573.0,1180.0,-158.0,109618.0,2.162202464,1.35
경기도,광주시,2013,286699.0,11043.0,4.006080042,38.0,25.0,2845.0,1195.0,2000.0,811.0,9268.0,51893.0,1.986950198,1.126
경기도,양주시,2013,199143.0,-1167.0,-0.582596975,45.0,31.0,1692.0,1045.0,1099.0,598.0,-1933.0,39478.0,-1.415907105,0.248
경기도,포천시,2013,156603.0,-956.0,-0.606756834,42.0,32.0,1056.0,1094.0,894.0,498.0,-987.0,28740.0,-3.586165252,0.091
경기도,연천군,2013,45610.0,11.0,0.024123336,14.0,13.0,437.0,430.0,245.0,139.0,-2.0,6888.0,-4.479267785,0.199
경기도,가평군,2013,61017.0,223.0,0.366812514,16.0,13.0,359.0,519.0,275.0,145.0,342.0,9316.0,-3.511134127,0.316
경기도,양평군,2013,103620.0,1427.0,1.396377443,26.0,21.0,630.0,827.0,455.0,259.0,1565.0,15951.0,-0.70961718,0.705
강원특별자치도,춘천시,2013,274455.0,1091.0,0.399101564,40.0,39.0,2136.0,1660.0,1446.0,651.0,524.0,53001.0,-1.862721499,1.693
강원특별자치도,원주시,2013,324837.0,952.0,0.293931488,66.0,47.0,2546.0,1790.0,1756.0,845.0,80.0,66383.0,-2.088526379,1.776
강원특별자치도,강릉시,2013,216806.0,-935.0,-0.429409252,40.0,35.0,1460.0,1471.0,1026.0,528.0,-942.0,40758.0,-1.998124504,1.514
강원특별자치도,동해시,2013,95143.0,1246.0,1.326985953,22.0,14.0,727.0,665.0,479.0,257.0,1174.0,18273.0,0.010946308,0.291
강원특별자치도,태백시,2013,48794.0,-699.0,-1.412320934,15.0,13.0,338.0,334.0,236.0,116.0,-693.0,8164.0,-1.591128255,-0.183
강원특별자치도,속초시,2013,83109.0,-470.0,-0.562342215,12.0,12.0,596.0,549.0,428.0,221.0,-532.0,15914.0,-4.167168493,0.343
강원특별자치도,삼척시,2013,73023.0,560.0,0.772808192,18.0,19.0,436.0,560.0,321.0,148.0,666.0,12966.0,-1.286638751,0.837
강원특별자치도,홍천군,2013,70638.0,911.0,1.306524015,26.0,26.0,420.0,644.0,315.0,142.0,1097.0,11302.0,-1.206293706,1.21
강원특별자치도,횡성군,2013,44937.0,322.0,0.72173036,14.0,16.0,204.0,450.0,194.0,90.0,545.0,6765.0,-2.549697494,1.337
강원특별자치도,영월군,2013,40150.0,-5.0,-0.01245175,15.0,13.0,182.0,412.0,175.0,80.0,212.0,6122.0,-1.623011409,1.193
강원특별자치도,평창군,2013,43666.0,39.0,0.089394183,17.0,20.0,245.0,369.0,203.0,92.0,152.0,6468.0,-2.984850757,1.914
강원특별자치도,정선군,2013,39985.0,70.0,0.175372667,15.0,16.0,212.0,346.0,221.0,115.0,189.0,5406.0,-2.259989152,0.988
강원특별자치도,철원군,2013,47473.0,-495.0,-1.031937959,13.0,16.0,400.0,352.0,249.0,98.0,-563.0,8307.0,-3.642268878,0.166
강원특별자치도,화천군,2013,25079.0,59.0,0.235811351,14.0,13.0,238.0,173.0,207.0,61.0,0.0,3936.0,-0.430053124,0.233
강원특별자치도,양구군,2013,23594.0,795.0,3.486995044,9.0,10.0,194.0,161.0,184.0,63.0,758.0,4257.0,-0.164165103,0.39
강원특별자치도,인제군,2013,32517.0,61.0,0.187946759,17.0,14.0,338.0,260.0,216.0,83.0,-28.0,5250.0,-2.903643425,0.683
강원특별자치도,고성군,2013,30398.0,274.0,-46.58208273,11.0,14.0,162.0,294.0,166.0,74.0,382.0,4672.0,-1.889962201,1.108
강원특별자치도,양양군,2013,27659.0,-143.0,-0.514351486,15.0,14.0,146.0,266.0,124.0,61.0,-35.0,3868.0,-4.257425743,0.515
충청북도,청주시,2013,672904.0,6052.0,0.907547702,98.0,60.0,6728.0,2753.0,4258.0,1444.0,1856.0,144590.0,-1.73638248,0.932
충청북도,충주시,2013,208115.0,-332.0,-0.159273101,46.0,38.0,1486.0,1579.0,1166.0,588.0,-313.0,38928.0,-2.624008805,0.937
충청북도,제천시,2013,137204.0,-317.0,-0.230510249,35.0,24.0,971.0,1022.0,701.0,362.0,-302.0,25042.0,-2.377982224,0.805
충청북도,청원군,2013,155002.0,222.0,0.143429384,33.0,28.0,1869.0,1082.0,1160.0,345.0,-626.0,26112.0,-1.315192744,1.333
충청북도,보은군,2013,34318.0,-120.0,-0.348452291,16.0,15.0,148.0,466.0,139.0,67.0,176.0,4755.0,-2.939375383,0.62
충청북도,옥천군,2013,52763.0,-481.0,-0.903388175,18.0,13.0,272.0,545.0,220.0,122.0,-214.0,7990.0,-3.502415459,0.894
충청북도,영동군,2013,50539.0,-124.0,-0.244754555,18.0,15.0,278.0,598.0,202.0,91.0,170.0,7541.0,-2.45763808,0.697
충청북도,진천군,2013,64606.0,1148.0,1.809070566,17.0,15.0,543.0,479.0,363.0,210.0,1055.0,11494.0,-0.605326877,1.157
충청북도,괴산군,2013,38059.0,346.0,0.917455519,16.0,15.0,131.0,455.0,128.0,76.0,662.0,4649.0,0.064571675,0.459
충청북도,음성군,2013,93505.0,525.0,0.564637556,24.0,21.0,742.0,846.0,588.0,267.0,448.0,15871.0,-1.770130594,1.298
충청북도,단양군,2013,31171.0,-82.0,-0.262374812,14.0,11.0,131.0,311.0,137.0,68.0,81.0,4470.0,-2.868318123,0.601
충청북도,증평군,2013,34546.0,267.0,0.778902535,6.0,4.0,359.0,235.0,245.0,92.0,120.0,6380.0,0.204177792,0.904
충청남도,천안시,2013,591089.0,9101.0,1.563777947,108.0,70.0,6356.0,2369.0,4209.0,1484.0,4977.0,123747.0,-0.460907336,0.462
충청남도,공주시,2013,116369.0,-929.0,-0.791999864,36.0,29.0,714.0,997.0,562.0,265.0,-682.0,19868.0,-3.707652789,0.794
충청남도,보령시,2013,104938.0,-621.0,-0.588296592,35.0,29.0,641.0,863.0,551.0,245.0,-430.0,17528.0,-2.600577906,0.509
충청남도,아산시,2013,287073.0,6583.0,2.346964241,53.0,42.0,3665.0,1417.0,2190.0,721.0,4152.0,55171.0,1.318568307,0.663
충청남도,서산시,2013,165837.0,2522.0,1.544254967,41.0,28.0,1601.0,1007.0,1052.0,364.0,1872.0,31920.0,-0.206340274,1.167
충청남도,논산시,2013,125844.0,-809.0,-0.638753129,33.0,34.0,805.0,1161.0,546.0,295.0,-498.0,21415.0,-3.653214559,0.778
충청남도,계룡시,2013,40957.0,-593.0,-1.427196149,8.0,5.0,352.0,140.0,179.0,64.0,-831.0,10488.0,-2.654538704,0.247
충청남도,당진시,2013,159615.0,4511.0,2.908371157,35.0,31.0,1873.0,1080.0,1255.0,430.0,3660.0,26751.0,1.467910787,1.507
충청남도,금산군,2013,55441.0,-274.0,-0.491788567,17.0,16.0,350.0,625.0,235.0,133.0,-34.0,8127.0,-0.355566454,0.65
충청남도,부여군,2013,72547.0,-712.0,-0.971894238,28.0,25.0,349.0,867.0,270.0,138.0,-204.0,11037.0,-2.979957806,0.48
충청남도,서천군,2013,58441.0,-479.0,-0.812966735,20.0,18.0,295.0,720.0,247.0,129.0,-83.0,8166.0,-4.233610883,0.696
충청남도,청양군,2013,32155.0,68.0,0.211923832,13.0,12.0,203.0,399.0,122.0,62.0,255.0,4274.0,-3.521444695,0.478
충청남도,홍성군,2013,89704.0,1289.0,1.457897416,28.0,24.0,580.0,796.0,402.0,195.0,1495.0,15140.0,-0.649648927,1.004
충청남도,예산군,2013,85205.0,-671.0,-0.781359169,29.0,24.0,465.0,842.0,375.0,141.0,-302.0,12978.0,-2.895622896,0.737
충청남도,태안군,2013,62416.0,-132.0,-0.211037923,23.0,19.0,379.0,571.0,287.0,154.0,28.0,8763.0,-3.074881097,0.627
전라북도,전주시,2013,650082.0,1219.0,0.187867084,118.0,67.0,5400.0,3001.0,3725.0,1285.0,-1380.0,142585.0,-2.142656152,1.261
전라북도,군산시,2013,278319.0,-22.0,-0.007903974,67.0,56.0,2607.0,1770.0,1705.0,708.0,-970.0,52708.0,-1.585226954,1.066
전라북도,익산시,2013,306539.0,70.0,0.022840809,85.0,60.0,2341.0,1993.0,1635.0,737.0,-394.0,61401.0,-2.42193087,0.894
전라북도,정읍시,2013,118328.0,-1064.0,-0.891181989,43.0,35.0,735.0,1174.0,519.0,294.0,-692.0,21026.0,-2.77893374,1.007
전라북도,남원시,2013,86460.0,-540.0,-0.620689655,29.0,27.0,616.0,835.0,357.0,190.0,-350.0,15486.0,-2.339660718,0.735
전라북도,김제시,2013,91218.0,-1099.0,-1.190463295,41.0,36.0,559.0,1001.0,385.0,200.0,-729.0,13559.0,-3.011444921,0.802
전라북도,완주군,2013,86978.0,814.0,0.944710088,33.0,29.0,812.0,728.0,459.0,207.0,669.0,14469.0,0.808193409,1.12
전라북도,진안군,2013,26703.0,-260.0,-0.96428439,12.0,13.0,221.0,319.0,112.0,58.0,-169.0,3353.0,-3.120485409,0.75
전라북도,무주군,2013,25398.0,77.0,0.304095415,9.0,10.0,151.0,290.0,112.0,52.0,200.0,3531.0,-1.423785595,0.686
전라북도,장수군,2013,23243.0,52.0,0.224224915,9.0,8.0,162.0,267.0,73.0,34.0,145.0,3203.0,-1.17247763,0.694
전라북도,임실군,2013,29739.0,-217.0,-0.72439578,15.0,15.0,211.0,362.0,111.0,65.0,-88.0,3655.0,-3.739794575,0.819
전라북도,순창군,2013,30272.0,217.0,0.722009649,15.0,15.0,161.0,385.0,113.0,65.0,430.0,4397.0,-0.767321146,0.622
전라북도,고창군,2013,60522.0,82.0,0.135671741,22.0,21.0,281.0,678.0,271.0,112.0,459.0,9286.0,-2.396468362,1.188
전라북도,부안군,2013,59164.0,295.0,0.50111264,25.0,22.0,298.0,689.0,246.0,137.0,672.0,8861.0,-0.393435252,0.987
전라남도,목포시,2013,240936.0,-4137.0,-1.688068453,54.0,31.0,2168.0,1374.0,1405.0,620.0,-4999.0,50884.0,-3.242122877,0.803
전라남도,여수시,2013,291366.0,-851.0,-0.291221934,72.0,50.0,2424.0,1867.0,1797.0,609.0,-1534.0,56730.0,-2.949327676,1.287
전라남도,순천시,2013,275668.0,1870.0,0.682985267,58.0,40.0,2115.0,1584.0,1444.0,561.0,1257.0,62263.0,-2.283499168,1.019
전라남도,나주시,2013,87754.0,-313.0,-0.355411221,24.0,20.0,671.0,965.0,417.0,211.0,-50.0,12768.0,-3.228740337,1.008
전라남도,광양시,2013,151621.0,784.0,0.51976637,39.0,28.0,1761.0,730.0,1040.0,377.0,-344.0,33763.0,-1.954350099,1.31
전라남도,담양군,2013,47365.0,-247.0,-0.518776779,15.0,14.0,350.0,459.0,224.0,76.0,-158.0,6169.0,-4.799382716,0.998
전라남도,곡성군,2013,31009.0,131.0,0.424250275,8.0,8.0,181.0,396.0,103.0,47.0,351.0,4557.0,3.474114441,0.832
전라남도,구례군,2013,27115.0,38.0,0.14034051,12.0,10.0,175.0,321.0,106.0,53.0,165.0,3935.0,-0.706535453,0.66
전라남도,고흥군,2013,70631.0,-929.0,-1.298211291,23.0,17.0,283.0,1066.0,255.0,116.0,-202.0,8923.0,-2.905331882,0.723
전라남도,보성군,2013,46385.0,-665.0,-1.413390011,21.0,18.0,308.0,579.0,174.0,78.0,-432.0,6017.0,-3.014184397,0.915
전라남도,화순군,2013,67829.0,-549.0,-0.802889818,19.0,16.0,443.0,612.0,304.0,152.0,-410.0,12387.0,-1.854052769,0.793
전라남도,장흥군,2013,43004.0,332.0,0.778027747,17.0,15.0,246.0,540.0,192.0,76.0,632.0,6666.0,-0.655737705,0.967
전라남도,강진군,2013,40079.0,-162.0,-0.402574489,14.0,14.0,363.0,553.0,159.0,84.0,1.0,5854.0,-3.367448003,0.826
전라남도,해남군,2013,77684.0,-466.0,-0.596289187,25.0,22.0,808.0,891.0,344.0,156.0,-408.0,11621.0,-3.247023562,0.948
전라남도,영암군,2013,59061.0,-936.0,-1.560078004,18.0,16.0,665.0,548.0,368.0,141.0,-1088.0,9389.0,-3.623485937,0.637
전라남도,무안군,2013,79367.0,3626.0,4.787367476,19.0,18.0,599.0,709.0,432.0,158.0,3718.0,14465.0,5.268903282,0.687
전라남도,함평군,2013,35610.0,-170.0,-0.475125769,12.0,11.0,237.0,468.0,147.0,71.0,60.0,4667.0,-3.614209005,0.548
전라남도,영광군,2013,57617.0,393.0,0.68677478,20.0,14.0,417.0,617.0,305.0,146.0,568.0,9092.0,-1.569773736,0.67
